,key,Date_Created,Title,Artist,Invite_Spawner,URL
10,854161284_4088304634,2021-07-14,Mysterious Eyes,GARNET CROW,saku2222saku,https://www.smule.com/recording/garnet-crow-mysterious-eyes/854161284_4088304634
11,854161284_4081629589,2021-07-08,踊,Ado,saku2222saku,https://www.smule.com/recording/ado-%E8%B8%8A/854161284_4081629589
12,854161284_4076402692,2021-07-03,踊,Ado,saku2222saku,https://www.smule.com/recording/ado-%E8%B8%8A/854161284_4076402692
13,854161284_4071939365,2021-06-29,ギラギラ　【高音質INST】　Ado 🕊,Ado　 （コーラス入り）,saku2222saku,https://www.smule.com/recording/ado-%E3%82%B3%E3%83%BC%E3%83%A9%E3%82%B9%E5%85%A5%E3%82%8A-%E3%82%AE%E3%83%A9%E3%82%AE%E3%83%A9-%E9%AB%98%E9%9F%B3%E8%B3%AAinst-ado/854161284_4071939365
14,854161284_4067326742,2021-06-25,Euphoric Field English,ELISA,saku2222saku,https://www.smule.com/recording/elisa-euphoric-field-english/854161284_4067326742
15,854161284_4066160317,2021-06-24,psi-missing,川田まみ,saku2222saku,https://www.smule.com/recording/%E5%B7%9D%E7%94%B0%E3%81%BE%E3%81%BF-psi-missing/854161284_4066160317
16,866011258_4049840263,2021-06-10,Kagayaku Sora no Shijima Ni Wa,Kalafina,OchaLady,https://www.smule.com/recording/kalafina-kagayaku-sora-no-shijima-ni-wa/866011258_4049840263
17,854161284_4031193975,2021-05-26,忘れ咲き,GARNET CROW,saku2222saku,https://www.smule.com/recording/garnet-crow-%E5%BF%98%E3%82%8C%E5%92%B2%E3%81%8D/854161284_4031193975
18,854161284_4031177021,2021-05-26,Ash Like Snow - 機動戦士ガンダム00,The Brilliant Green,saku2222saku,https://www.smule.com/recording/the-brilliant-green-ash-like-snow-%E6%A9%9F%E5%8B%95%E6%88%A6%E5%A3%AB%E3%82%AC%E3%83%B3%E3%83%80%E3%83%A000/854161284_4031177021
19,854161284_4031166868,2021-05-26,夏の幻,GARNET CROW,saku2222saku,https://www.smule.com/recording/garnet-crow-%E5%A4%8F%E3%81%AE%E5%B9%BB/854161284_4031166868
20,854161284_4015403455,2021-05-13,Beautiful World - 宇多田ヒカル,宇多田ヒカル,saku2222saku,https://www.smule.com/recording/%E5%AE%87%E5%A4%9A%E7%94%B0%E3%83%92%E3%82%AB%E3%83%AB-beautiful-world-%E5%AE%87%E5%A4%9A%E7%94%B0%E3%83%92%E3%82%AB%E3%83%AB/854161284_4015403455
21,854161284_4013743623,2021-05-11,Errand,飛蘭,saku2222saku,https://www.smule.com/recording/%E9%A3%9B%E8%98%AD-errand/854161284_4013743623
22,866011258_4013868429,2021-05-11,再会 (Saikai),Lisa×uru (produced By Ayase),OchaLady,https://www.smule.com/recording/lisa-uru-produced-by-ayase-%E5%86%8D%E4%BC%9A-saikai/866011258_4013868429
